county,fips,year,population
Adams,8001,1900,NA
Alamosa,8003,1900,NA
Arapahoe,8005,1900,153017
Archuleta,8007,1900,2117
Baca,8009,1900,759
Bent,8011,1900,3049
Boulder,8013,1900,21544
Chaffee,8015,1900,7085
Cheyenne,8017,1900,501
Clear Creek,8019,1900,7082
Conejos,8021,1900,8794
Costilla,8023,1900,4632
Crowley,8025,1900,NA
Custer,8027,1900,2937
Delta,8029,1900,5487
Denver,8031,1900,NA
Dolores,8033,1900,1134
Douglas,8035,1900,3120
Eagle,8037,1900,3008
Elbert,8039,1900,3101
El Paso,8041,1900,31602
Fremont,8043,1900,15636
Garfield,8045,1900,5835
Gilpin,8047,1900,6690
Grand,8049,1900,741
Gunnison,8051,1900,5331
Hinsdale,8053,1900,1609
Huerfano,8055,1900,8395
Jackson,8057,1900,NA
Jefferson,8059,1900,9306
Kiowa,8061,1900,701
Kit Carson,8063,1900,1580
Lake,8065,1900,18054
La Plata,8067,1900,7016
Larimer,8069,1900,12168
Las Animas,8071,1900,21842
Lincoln,8073,1900,926
Logan,8075,1900,3292
Mesa,8077,1900,9267
Mineral,8079,1900,1913
Moffat,8081,1900,NA
Montezuma,8083,1900,3058
Montrose,8085,1900,4535
Morgan,8087,1900,3268
Otero,8089,1900,11522
Ouray,8091,1900,4731
Park,8093,1900,2998
Phillips,8095,1900,1583
Pitkin,8097,1900,7020
Prowers,8099,1900,3766
Pueblo,8101,1900,34448
Rio Blanco,8103,1900,1690
Rio Grande,8105,1900,4080
Routt,8107,1900,3661
Saguache,8109,1900,3853
San Juan,8111,1900,2342
San Miguel,8113,1900,5379
Sedgwick,8115,1900,971
Summit,8117,1900,2744
Teller,8119,1900,29002
Washington,8121,1900,1241
Weld,8123,1900,16808
Yuma,8125,1900,1729
Adams,8001,1910,8892
Alamosa,8003,1910,NA
Arapahoe,8005,1910,10263
Archuleta,8007,1910,3302
Baca,8009,1910,2516
Bent,8011,1910,5043
Boulder,8013,1910,30330
Chaffee,8015,1910,7622
Cheyenne,8017,1910,3687
Clear Creek,8019,1910,5001
Conejos,8021,1910,11285
Costilla,8023,1910,5498
Crowley,8025,1910,NA
Custer,8027,1910,1947
Delta,8029,1910,13688
Denver,8031,1910,213381
Dolores,8033,1910,642
Douglas,8035,1910,3192
Eagle,8037,1910,2985
Elbert,8039,1910,5331
El Paso,8041,1910,43321
Fremont,8043,1910,18181
Garfield,8045,1910,10144
Gilpin,8047,1910,4131
Grand,8049,1910,1862
Gunnison,8051,1910,5897
Hinsdale,8053,1910,646
Huerfano,8055,1910,13320
Jackson,8057,1910,1013
Jefferson,8059,1910,14231
Kiowa,8061,1910,2899
Kit Carson,8063,1910,7483
Lake,8065,1910,10600
La Plata,8067,1910,10812
Larimer,8069,1910,25270
Las Animas,8071,1910,33643
Lincoln,8073,1910,5917
Logan,8075,1910,9549
Mesa,8077,1910,22197
Mineral,8079,1910,1239
Moffat,8081,1910,NA
Montezuma,8083,1910,5029
Montrose,8085,1910,10291
Morgan,8087,1910,9577
Otero,8089,1910,20201
Ouray,8091,1910,3514
Park,8093,1910,2492
Phillips,8095,1910,3179
Pitkin,8097,1910,4566
Prowers,8099,1910,9520
Pueblo,8101,1910,52223
Rio Blanco,8103,1910,2332
Rio Grande,8105,1910,6563
Routt,8107,1910,7561
Saguache,8109,1910,4160
San Juan,8111,1910,3063
San Miguel,8113,1910,4700
Sedgwick,8115,1910,3061
Summit,8117,1910,2003
Teller,8119,1910,14351
Washington,8121,1910,6002
Weld,8123,1910,39177
Yuma,8125,1910,8499
Adams,8001,1920,14430
Alamosa,8003,1920,5148
Arapahoe,8005,1920,13766
Archuleta,8007,1920,3590
Baca,8009,1920,8721
Bent,8011,1920,9705
Boulder,8013,1920,31861
Chaffee,8015,1920,7753
Cheyenne,8017,1920,3746
Clear Creek,8019,1920,2891
Conejos,8021,1920,8416
Costilla,8023,1920,5032
Crowley,8025,1920,6383
Custer,8027,1920,2172
Delta,8029,1920,13668
Denver,8031,1920,256491
Dolores,8033,1920,1243
Douglas,8035,1920,3517
Eagle,8037,1920,3385
Elbert,8039,1920,6980
El Paso,8041,1920,44027
Fremont,8043,1920,17883
Garfield,8045,1920,9304
Gilpin,8047,1920,1364
Grand,8049,1920,2659
Gunnison,8051,1920,5590
Hinsdale,8053,1920,538
Huerfano,8055,1920,16879
Jackson,8057,1920,1340
Jefferson,8059,1920,14400
Kiowa,8061,1920,3755
Kit Carson,8063,1920,8915
Lake,8065,1920,6630
La Plata,8067,1920,11218
Larimer,8069,1920,27872
Las Animas,8071,1920,38975
Lincoln,8073,1920,8273
Logan,8075,1920,18427
Mesa,8077,1920,22281
Mineral,8079,1920,779
Moffat,8081,1920,5129
Montezuma,8083,1920,6260
Montrose,8085,1920,11852
Morgan,8087,1920,16124
Otero,8089,1920,22623
Ouray,8091,1920,2620
Park,8093,1920,1977
Phillips,8095,1920,5499
Pitkin,8097,1920,2707
Prowers,8099,1920,13845
Pueblo,8101,1920,57638
Rio Blanco,8103,1920,3135
Rio Grande,8105,1920,7855
Routt,8107,1920,8948
Saguache,8109,1920,4638
San Juan,8111,1920,1700
San Miguel,8113,1920,5281
Sedgwick,8115,1920,4207
Summit,8117,1920,1724
Teller,8119,1920,6696
Washington,8121,1920,11208
Weld,8123,1920,54059
Yuma,8125,1920,13897
Adams,8001,1930,20245
Alamosa,8003,1930,8602
Arapahoe,8005,1930,22647
Archuleta,8007,1930,3204
Baca,8009,1930,10570
Bent,8011,1930,9134
Boulder,8013,1930,32456
Chaffee,8015,1930,8126
Cheyenne,8017,1930,3723
Clear Creek,8019,1930,2155
Conejos,8021,1930,9803
Costilla,8023,1930,5779
Crowley,8025,1930,5934
Custer,8027,1930,2124
Delta,8029,1930,14204
Denver,8031,1930,287861
Dolores,8033,1930,1412
Douglas,8035,1930,3498
Eagle,8037,1930,3924
Elbert,8039,1930,6580
El Paso,8041,1930,49570
Fremont,8043,1930,18896
Garfield,8045,1930,9975
Gilpin,8047,1930,1212
Grand,8049,1930,2108
Gunnison,8051,1930,5527
Hinsdale,8053,1930,449
Huerfano,8055,1930,17062
Jackson,8057,1930,1386
Jefferson,8059,1930,21810
Kiowa,8061,1930,3786
Kit Carson,8063,1930,9725
Lake,8065,1930,4899
La Plata,8067,1930,12975
Larimer,8069,1930,33137
Las Animas,8071,1930,36008
Lincoln,8073,1930,7850
Logan,8075,1930,19946
Mesa,8077,1930,25908
Mineral,8079,1930,640
Moffat,8081,1930,4861
Montezuma,8083,1930,7798
Montrose,8085,1930,11742
Morgan,8087,1930,18284
Otero,8089,1930,24390
Ouray,8091,1930,1784
Park,8093,1930,2052
Phillips,8095,1930,5797
Pitkin,8097,1930,1770
Prowers,8099,1930,14762
Pueblo,8101,1930,66038
Rio Blanco,8103,1930,2980
Rio Grande,8105,1930,9953
Routt,8107,1930,9352
Saguache,8109,1930,6250
San Juan,8111,1930,1935
San Miguel,8113,1930,2184
Sedgwick,8115,1930,5580
Summit,8117,1930,987
Teller,8119,1930,4141
Washington,8121,1930,9591
Weld,8123,1930,65097
Yuma,8125,1930,13613
Adams,8001,1940,22481
Alamosa,8003,1940,10484
Arapahoe,8005,1940,32150
Archuleta,8007,1940,3806
Baca,8009,1940,6207
Bent,8011,1940,9653
Boulder,8013,1940,37438
Chaffee,8015,1940,8109
Cheyenne,8017,1940,2964
Clear Creek,8019,1940,3784
Conejos,8021,1940,11648
Costilla,8023,1940,7533
Crowley,8025,1940,5398
Custer,8027,1940,2270
Delta,8029,1940,16470
Denver,8031,1940,322412
Dolores,8033,1940,1958
Douglas,8035,1940,3496
Eagle,8037,1940,5361
Elbert,8039,1940,5460
El Paso,8041,1940,54025
Fremont,8043,1940,19742
Garfield,8045,1940,10560
Gilpin,8047,1940,1625
Grand,8049,1940,3587
Gunnison,8051,1940,6192
Hinsdale,8053,1940,349
Huerfano,8055,1940,16088
Jackson,8057,1940,1798
Jefferson,8059,1940,30725
Kiowa,8061,1940,2793
Kit Carson,8063,1940,7512
Lake,8065,1940,6883
La Plata,8067,1940,15494
Larimer,8069,1940,35539
Las Animas,8071,1940,32369
Lincoln,8073,1940,5882
Logan,8075,1940,18370
Mesa,8077,1940,33791
Mineral,8079,1940,975
Moffat,8081,1940,5086
Montezuma,8083,1940,10463
Montrose,8085,1940,15418
Morgan,8087,1940,17214
Otero,8089,1940,23571
Ouray,8091,1940,2089
Park,8093,1940,3272
Phillips,8095,1940,4948
Pitkin,8097,1940,1836
Prowers,8099,1940,12304
Pueblo,8101,1940,68870
Rio Blanco,8103,1940,2943
Rio Grande,8105,1940,12404
Routt,8107,1940,10525
Saguache,8109,1940,6173
San Juan,8111,1940,1439
San Miguel,8113,1940,3664
Sedgwick,8115,1940,5294
Summit,8117,1940,1754
Teller,8119,1940,6463
Washington,8121,1940,8336
Weld,8123,1940,63747
Yuma,8125,1940,12102
Adams,8001,1950,40234
Alamosa,8003,1950,10531
Arapahoe,8005,1950,52125
Archuleta,8007,1950,3030
Baca,8009,1950,7964
Bent,8011,1950,8775
Boulder,8013,1950,48296
Chaffee,8015,1950,7168
Cheyenne,8017,1950,3453
Clear Creek,8019,1950,3289
Conejos,8021,1950,10171
Costilla,8023,1950,6067
Crowley,8025,1950,5222
Custer,8027,1950,1573
Delta,8029,1950,17365
Denver,8031,1950,415786
Dolores,8033,1950,1966
Douglas,8035,1950,3507
Eagle,8037,1950,4488
Elbert,8039,1950,4477
El Paso,8041,1950,74523
Fremont,8043,1950,18366
Garfield,8045,1950,11625
Gilpin,8047,1950,850
Grand,8049,1950,3963
Gunnison,8051,1950,5716
Hinsdale,8053,1950,263
Huerfano,8055,1950,10549
Jackson,8057,1950,1976
Jefferson,8059,1950,55687
Kiowa,8061,1950,3003
Kit Carson,8063,1950,8600
Lake,8065,1950,6150
La Plata,8067,1950,14880
Larimer,8069,1950,43554
Las Animas,8071,1950,25902
Lincoln,8073,1950,5909
Logan,8075,1950,17187
Mesa,8077,1950,38974
Mineral,8079,1950,698
Moffat,8081,1950,5946
Montezuma,8083,1950,9991
Montrose,8085,1950,15220
Morgan,8087,1950,18074
Otero,8089,1950,25275
Ouray,8091,1950,2103
Park,8093,1950,1870
Phillips,8095,1950,4924
Pitkin,8097,1950,1646
Prowers,8099,1950,14836
Pueblo,8101,1950,90188
Rio Blanco,8103,1950,4719
Rio Grande,8105,1950,12832
Routt,8107,1950,8940
Saguache,8109,1950,5664
San Juan,8111,1950,1471
San Miguel,8113,1950,2693
Sedgwick,8115,1950,5095
Summit,8117,1950,1135
Teller,8119,1950,2754
Washington,8121,1950,7520
Weld,8123,1950,67504
Yuma,8125,1950,10827