PO_Name,County,State,PM_Salary,Latitude,Longitude
Arizona,Yuma,AZ,360,32.7253249,-114.624397
Ehrenburg,La Paz,AZ,140,33.6041914,-114.5252322
Florence,Pinal,AZ,12,33.0314508,-111.3873431
Fort Bowie,Cochise,AZ,12,32.149804,-109.4525624
Grant,Pinal,AZ,12,31.4031528,-110.91592
Hardyville,Mohave,AZ,180,35.0450009,-114.6216325
Kirkland Valley,Yavapai,AZ,12,34.4175,-112.712222
La Paz,La Paz,AZ,200,33.6791899,-114.426342
Maricopa,Pinal,AZ,220,33.0581063,-112.0476423
McDowell,Maricopa,AZ,12,33.6367105,-111.6745826
Mohave City,Mohave,AZ,80,35.0444453,-114.6230214
Overton,Maricopa,AZ,12,33.828611,-111.954722
Parker,La Paz,AZ,12,34.1500162,-114.2891177
Phoenix,Maricopa,AZ,12,33.4483771,-112.0740373
Prescott,Yavapai,AZ,540,34.5397095,-112.4691701
Providence Wells,Pima,AZ,12,32.1314666,-111.2778803
Sacaton,Pinal,AZ,12,33.0813926,-111.7442899
Saint Joseph,Navajo,AZ,44,34.9558574,-110.334014
Sanford,Pinal,AZ,12,33.0128395,-111.4420665
Skull Valley,Yavapai,AZ,12,34.501896,-112.6871074
Tubac,Santa Cruz,AZ,12,31.61259,-111.0459238
Tucson,Pima,AZ,620,32.2217429,-110.926479
Wickenburg,Maricopa,AZ,200,33.9610766,-112.7729381
Wilson,Yavapai,AZ,12,33.4543463,-112.0179746
Alameda,Alameda,CA,99,37.7652065,-122.2416355
Alvarado,Alameda,CA,70,37.5952005,-122.0768144
Brooklyn,Alameda,CA,280,37.788539,-122.249414
Centerville,Alameda,CA,200,37.5482697,-121.9885719
Decoto,Alameda,CA,12,37.5958333,-122.0191667
Dougherty's Station,Alameda,CA,45,37.7021521,-121.9357918
Haywards,Alameda,CA,80,37.6688205,-122.0807964
Livermore,Alameda,CA,12,37.6818745,-121.7680088
Midway,Alameda,CA,12,37.7146518,-121.5580031
Mission San Jose,Alameda,CA,30,37.5482697,-121.9885719
Mount Eden,Alameda,CA,100,37.6248959,-122.08967
Oakland,Alameda,CA,2100,37.8043722,-122.2708026
Pleasanton,Alameda,CA,94,37.6624312,-121.8746789
San Leandro,Alameda,CA,380,37.7181536,-122.1431661
San Lorenzo,Alameda,CA,140,37.6877406,-122.1217777
Sunolglen,Alameda,CA,12,37.5938226,-121.8880127
Warm Springs,Alameda,CA,13,37.5482697,-121.9885719
Washington Corners,Alameda,CA,12,37.532159,-121.9616266
Bullionae,Alpine,CA,55,38.6604619,-119.7262864
Markleeville,Alpine,CA,46,38.6949057,-119.7801768
Monitor,Alpine,CA,160,38.6651843,-119.6960075
Woodford's,Alpine,CA,35,38.76615,-119.80821
Amador City,Amador,CA,76,38.421022,-120.8249363
Buena Vista,Amador,CA,12,38.2943599,-120.9132726
Drytown,Amador,CA,100,38.4410213,-120.8543816
Forest Home,Amador,CA,80,38.4649096,-120.9641076
Ione,Amador,CA,230,38.3916667,-120.9505556
Jackson,Amador,CA,700,38.3532466,-120.7760462
Lancha Plana,Amador,CA,25,38.22464,-120.9018833
Oleta,Amador,CA,120,38.5037966,-120.7554891
Pine Grove,Amador,CA,53,38.4124112,-120.6543749
Plymouth,Amador,CA,12,38.4818531,-120.844659
Silver Mountain,Alpine,CA,130,38.6051849,-119.7693438
Sutter Creek,Amador,CA,440,38.3929675,-120.8024357
Volcano,Amador,CA,130,38.4429658,-120.6307628
Bangor,Butte,CA,26,39.3885002,-121.4052424
Bidwell's Bar,Butte,CA,34,39.5565531,-121.4413559
Bigg's Station,Butte,CA,12,39.4123876,-121.7127513
Brush Creek,Butte,CA,35,39.6904417,-121.3391309
Central House,Butte,CA,29,39.3557221,-121.6052476
Cherokee,Butte,CA,56,40.104613,-120.9391224
Chico,Butte,CA,730,39.7276612,-121.8385888
Clipper Mills,Butte,CA,71,39.5287782,-121.1699591
Forbestown,Butte,CA,82,39.51711,-121.267184
Gridley,Butte,CA,12,39.3637773,-121.6935833
Honcut,Butte,CA,12,39.3290561,-121.5338564
Honcut,Butte,CA,12,39.3290561,-121.5338564
Inskip,Butte,CA,5,39.9898823,-121.5410842
Lovelock,Butte,CA,12,39.8912719,-121.5777512
Magalia,Butte,CA,74,39.8437722,-121.5888621
Nord,Butte,CA,12,39.7807155,-121.9552579
Oroville,Butte,CA,1000,39.5137752,-121.556359
Pentz,Butte,CA,34,39.6551627,-121.5838605
Rio Seco,Butte,CA,12,39.5887743,-121.6785852
Yankee Hill,Butte,CA,20,39.721551,-121.5419152
Angel's Camp,Calaveras,CA,160,38.0696443,-120.5410346
Big Trees,Calaveras,CA,12,38.2774169,-120.3104735
Camanche,Calaveras,CA,47,38.2132514,-120.9352175
Campo Seco,Calaveras,CA,96,38.2279734,-120.8532709
Chili,Calaveras,CA,25,,
Copperoplis,Calaveras,CA,330,37.9366667,-120.5466667
Fourth Crossing,Calaveras,CA,20,38.1313094,-120.6346511
Gwin Mine,Calaveras,CA,12,38.2757495,-120.7579905
Jenny Lind,Calaveras,CA,80,38.0949216,-120.8699371
Milton,Calaveras,CA,12,38.0318678,-120.8521583
Mokelumne Hill,Calaveras,CA,530,38.3004709,-120.7063219
Mountain Ranch,Calaveras,CA,24,38.2282509,-120.5407599
Murphy,Calaveras,CA,230,38.1374202,-120.4596437
Railroad Flat,Calaveras,CA,69,38.3432471,-120.5121479
San Andreas,Calaveras,CA,370,38.1960298,-120.6804872
Telegraph City,Calaveras,CA,61,37.93437,-120.7399315
Vallicita,Calaveras,CA,65,38.0901992,-120.4735322
West Point,Calaveras,CA,94,38.3990786,-120.527426
Canaan,Colusa,CA,12,39.39859344,-122.2472165
Coast Range,Colusa,CA,14,39.8004,-122.427
Colusa,Colusa,CA,700,39.2143343,-122.0094175
Grand Island,Colusa,CA,50,39.0696163,-121.8969137
Jacinto,Glenn,CA,12,39.5809946,-122.0066438
Kanawha,Colusa,CA,12,39.524326,-122.2497061
Newville,Glenn,CA,53,39.790989,-122.5283302
Princeton,Colusa,CA,64,39.4018304,-122.009975
Saint John,Glenn,CA,18,39.7132156,-122.0047017
Spring Valley,Colusa,CA,21,39.0998928,-122.2194191
Sycamore,Colusa,CA,12,39.1337814,-121.9419153
Alamo,Contra Costa,CA,33,37.8671473,-122.0302396
Antioch,Contra Costa,CA,560,37.9968661,-121.8094002
Black Diamond,Contra Costa,CA,12,38.0288095,-121.8844028
Clayton,Contra Costa,CA,40,37.9410341,-121.9357925
Danville,Contra Costa,CA,110,37.8215929,-121.9999606
Lafayette,Contra Costa,CA,20,37.8857582,-122.1180201
Martinez,Contra Costa,CA,250,38.0193657,-122.1341321
Pacheco,Contra Costa,CA,320,37.9818666,-122.0724634
San Pablo,Contra Costa,CA,95,37.9610347,-122.3458041
Somersville,Contra Costa,CA,110,37.9568671,-121.8644016
Walnut Creek,Contra Costa,CA,71,37.9080556,-122.0616667
Crescent City,Del Norte,CA,200,41.7559481,-124.2017474
Smith River,Del Norte,CA,12,41.9270567,-124.1523054
Clarksville,El Dorado,CA,40,38.6549043,-121.0524439
Coloma,El Dorado,CA,100,38.800457,-120.8904937
Diamond Spring,El Dorado,CA,93,38.6946259,-120.8149355
El Dorado,El Dorado,CA,87,38.6826817,-120.8477146
Fair Play,El Dorado,CA,12,38.5868507,-120.6582633
Garden Valley,El Dorado,CA,25,38.8587897,-120.8493804
Georgetown,El Dorado,CA,350,38.9068446,-120.8363238
Granite Hill,El Dorado,CA,13,38.7449025,-120.854937
Green Valley,El Dorado,CA,57,38.6971254,-121.008554
Greenwood,El Dorado,CA,22,38.8965664,-120.9127166
Grizzly Flats,El Dorado,CA,56,38.6360169,-120.5271473
Indian Diggins,El Dorado,CA,12,38.58074,-120.5768715
Kelsey,El Dorado,CA,23,38.8174015,-120.8243796
Lake Valley,El Dorado,CA,15,38.9299079,-120.0046264
Latrobe,El Dorado,CA,85,38.5582402,-120.9813306
Nashville,El Dorado,CA,12,38.5787952,-120.8452145
Newtown,El Dorado,CA,33,38.7043483,-120.6790971
Pilot Hill,El Dorado,CA,49,38.8349001,-121.0143878
Placerville,El Dorado,CA,1200,38.7296252,-120.798546
Pleasant Valley,El Dorado,CA,48,38.6832377,-120.6643743
Salmon Falls,El Dorado,CA,24,38.7579571,-121.0582776
Shingle,El Dorado,CA,150,38.6604599,-120.936329
Slippery Ford,El Dorado,CA,20,38.774722,-120.296944
Big Dry Creek,Fresno,CA,12,36.871,-119.618
Firebaugh,Fresno,CA,20,36.8588376,-120.4560072
Fort Miller,Fresno,CA,170,36.7855045,-119.7951458
Kingriver,Fresno,CA,12,36.6007839,-119.4595701
Laton,Fresno,CA,67,36.4343946,-119.6859657
New Idria,San Benito,CA,88,36.4144008,-120.6746157
Panoche,San Benito,CA,12,36.5968992,-120.8335144
Arcata,Humboldt,CA,180,40.8665166,-124.0828396
Camp Grant,Humboldt,CA,16,40.3395846,-123.8972616
Eureka,Humboldt,CA,610,40.8020712,-124.1636729
False Cape,Humboldt,CA,12,40.5101301,-124.3867234
Ferndale,Humboldt,CA,53,40.5762406,-124.2639442
Gas Jet,Humboldt,CA,12,40.466111,-124.367222
Hoopa,Humboldt,CA,43,41.0504076,-123.6742236
Hydesville,Humboldt,CA,77,40.5490227,-124.093383
Orleans,Humboldt,CA,20,41.3015154,-123.5411704
Petrolea,Humboldt,CA,62,40.3254132,-124.2869926
Rohnerville,Humboldt,CA,57,40.5670768,-124.135607
Table Bluff,Humboldt,CA,12,40.6581838,-124.2164464
Trinidad,Humboldt,CA,17,41.0604022,-124.1436803
Weitchpec,Humboldt,CA,5,41.1898489,-123.6967274
Big Pine,Inyo,CA,12,37.1649307,-118.289546
Cerro Gordo,Inyo,CA,12,36.5393799,-117.791744
Fish Springs,Inyo,CA,12,37.0749325,-118.2531552
Independence,Inyo,CA,180,35.5855128,-119.334001
Lone Pine,Inyo,CA,12,36.6060444,-118.0628654
Olancha,Inyo,CA,12,36.2818827,-118.0064718
Bakersfield,Kern,CA,30,35.3694033,-119.0239905
Havilah,Kern,CA,230,35.5177324,-118.5186972
Kernville,Kern,CA,74,35.7571732,-118.4178625
Linn's Valley,Kern,CA,49,35.7302305,-118.7042552
Tehichipa,Kern,CA,12,35.142778,-118.494722
Weldon,Kern,CA,12,35.6657864,-118.2903579
Glenbrook,Lake,CA,12,38.8515695,-122.758602
Guenoc,Lake,CA,20,38.7890691,-122.5658161
Kelseyville,Lake,CA,77,38.9779531,-122.8394375
Knoxville,Napa,CA,89,38.8276783,-122.3405326
Lakeport,Lake,CA,82,39.0429506,-122.9158293
Lower Lake,Lake,CA,170,38.9104546,-122.6102614
Middletown,Lake,CA,12,38.755895,-122.6145945
Morgan,Lake,CA,7,38.8814,-122.45
Upper Lake,Lake,CA,47,39.163459,-122.9017747
Coppervale,Lassen,CA,7,40.3465575,-120.9049574
Hayden,Lassen,CA,12,40.995556,-120.887222
Janesville,Lassen,CA,60,40.3032309,-120.5327231
Junction House,Lassen,CA,12,39.7752,-120.0396
Long Valley,Lassen,CA,12,40.0285146,-120.1063162
Milford,Lassen,CA,12,40.1712892,-120.3724376
Susanville,Lassen,CA,530,40.4162842,-120.6530063
Compton,Los Angeles,CA,12,33.89109,-118.22686
Downey,Los Angeles,CA,20,33.93915,-118.12753
Los Angeles,Los Angeles,CA,2100,34.05618,-118.3323
El Monte,Los Angeles,CA,77,34.06433,-118.03537
Petroliopolis,Los Angeles,CA,93,,
Pomona,Los Angeles,CA,26,33.64935,-117.92813
Ravena City,Los Angeles,CA,12,34.439,-118.225
San Gabriel,Los Angeles,CA,19,34.0972312,-118.1075695
Wilmington,Los Angeles,CA,830,33.79711,-118.27399
Bolinas,Marin,CA,48,37.9093702,-122.6863733
Nicasio,Marin,CA,12,38.0685298,-122.7038351
Novato,Marin,CA,15,38.1074199,-122.5697032
Olema,Marin,CA,86,38.0421454,-122.7891571
San Quentin,Marin,CA,110,37.9413133,-122.4849739
San Rafael,Marin,CA,410,37.9727013,-122.5319208
Sausalito,Marin,CA,12,37.8590938,-122.4852507
Tomales,Marin,CA,80,38.2474194,-122.8952909
Bear Valley,Mariposa,CA,110,37.5688237,-120.1171266
Coulterville,Mariposa,CA,150,37.710486,-120.1979658
Hornitas,Mariposa,CA,270,37.502437,-120.2385188
Indian Gulch,Mariposa,CA,10,37.439383,-120.1968485
Mariposa,Mariposa,CA,230,36.1832759,-117.659514
Mount Bullion,Mariposa,CA,38,37.5071591,-120.0448999
Yosemite,Mariposa,CA,12,37.7488141,-119.5912765
Albion,Mendocino,CA,25,39.223098,-123.7692485
Anderson,Mendocino,CA,24,39.0237,-123.3824
Cahto,Mendocino,CA,180,39.65745647,-123.5225748
Covelo,Mendocino,CA,110,39.7929324,-123.2480687
Cuffey's Cove,Mendocino,CA,12,39.1410141,-123.7311267
Fish Rock,Mendocino,CA,12,38.8049105,-123.5852897
Gualala,Mendocino,CA,85,38.7657447,-123.5280651
Hermitage,Mendocino,CA,4,38.88130417,-123.163045
Hopland,Mendocino,CA,12,38.9672083,-123.1187814
Little River,Mendocino,CA,60,39.2707318,-123.7883473
Mendocino,Mendocino,CA,380,39.3115699,-123.7845313
Navarro,Mendocino,CA,12,39.1518426,-123.5419555
Point Arena,Mendocino,CA,230,38.9146867,-123.6993418
Potter Valley,Mendocino,CA,12,39.3221089,-123.113059
Sherwood Valley,Mendocino,CA,17,39.527938,-123.4552907
Ukiah,Mendocino,CA,250,39.1501709,-123.2077831
Willits,Mendocino,CA,56,39.4172491,-123.3540787
Yorkville,Mendocino,CA,12,38.8979586,-123.2144507
Alexandria,Merced,CA,12,37.40959522,-120.633942
Brickville,Merced,CA,12,37.30215763,-120.5192722
Dover,Merced,CA,12,,
Hopeton,Merced,CA,170,37.4916032,-120.5260289
Merced,Merced,CA,12,37.3021633,-120.4815788
Merced Falls,Merced,CA,23,37.5229918,-120.3324115
Plainsberg,Merced,CA,12,37.2329983,-120.324348
San Luis Ranch,Merced,CA,12,37.1596655,-120.813529
Snelling,Merced,CA,200,37.5191028,-120.4374151
Union,Merced,CA,64,37.27980502,-120.1840748
Adin,Modoc,CA,12,41.19378,-120.945245
Cedarville,El Dorado,CA,12,38.5687956,-120.6485408
Eagleville,Modoc,CA,34,41.3162846,-120.1157746
Fort Bidwell,Modoc,CA,260,41.8560019,-120.1518942
Lake City,Modoc,CA,170,41.6426708,-120.2168926
Benton,Mono,CA,31,37.8002103,-118.5290107
Bishop,Inyo,CA,81,37.3635404,-118.3951101
Bridgeport,Mono,CA,10,38.2546416,-119.2284876
Coleville,Mono,CA,22,38.5682432,-119.5087787
Castroville,Monterey,CA,520,36.7657904,-121.758005
Chualar,Monterey,CA,12,36.5721488,-121.5161229
Gabilan,Monterey,CA,12,36.4284159,-121.320177
Monterey,Monterey,CA,640,36.5952358,-121.9015712
Natividad,Monterey,CA,87,36.732737,-121.5966111
Picacho,San Benito,CA,12,36.3466258,-120.6948943
Pleito,Monterey,CA,12,35.8144123,-121.0904713
Salinas,Monterey,CA,580,36.6777372,-121.6555013
San Antonio,Monterey,CA,150,35.9435149,-121.0830439
Santa Rita,Monterey,CA,12,36.7243127,-121.6524581
Soledad,Monterey,CA,12,36.4367297,-121.3254066
Calistoga,Napa,CA,26,38.5787966,-122.5797054
Monticello,Napa,CA,73,38.5776843,-122.207197
Napa,Napa,CA,1300,38.2971367,-122.2855293
Oakville,Napa,CA,41,38.4368549,-122.4022007
Pope Valley,Napa,CA,12,38.6151837,-122.427757
Rutherford,Napa,CA,12,38.4590766,-122.4227568
Saint Helena,Napa,CA,290,38.5051866,-122.4702578
Yountville,Napa,CA,37,38.4032447,-122.3627551
Zem Zem,Napa,CA,12,38.753514,-122.2849771
Anthony House,Nevada,CA,12,39.235,-121.203056
French Corral,Nevada,CA,12,39.3060036,-121.1613445
Graniteville,Nevada,CA,12,39.4407321,-120.7396623
Grass Valley,Nevada,CA,3200,39.2190608,-121.0610606
Little York,Nevada,CA,17,39.195175,-120.8771629
Moore's Flat,Nevada,CA,150,39.4190631,-120.8507781
Nevada City,Nevada,CA,2400,39.2654494,-121.0191153
North Bloomfield,Nevada,CA,42,39.3682289,-120.8993903
North Columbia,Nevada,CA,60,39.3726713,-120.9871723
North San Juan,Nevada,CA,330,39.3701699,-121.1024545
Omega,Nevada,CA,24,39.3332326,-120.7493825
Patterson,Nevada,CA,33,39.3701706,-121.0430077
Rough and Ready,Nevada,CA,180,39.2301715,-121.1360642
Soda Springs,Nevada,CA,12,39.3232377,-120.3799251
Sweetland,Nevada,CA,28,39.3429479,-121.1202324
Truckee,Nevada,CA,430,39.3282397,-120.1843644
Washington,Nevada,CA,86,39.3585091,-120.799941
You Bet,Nevada,CA,64,39.2090633,-120.899942
Anaheim,Orange,CA,220,33.8344597,-117.9256151
Capistrano,Orange,CA,7,34.2166709,-118.6161988
Santa Ana,Orange,CA,12,33.8361268,-117.8461682
Alta,Placer,CA,12,39.2065652,-120.8113268
Auburn,Placer,CA,410,38.8993431,-121.0693898
Bath,Placer,CA,71,39.0360103,-120.7932659
Blue Canyon,Placer,CA,31,39.2571225,-120.711046
Butcher Ranch,Placer,CA,20,38.9560093,-120.9541076
Cisco,Placer,CA,12,39.3015691,-120.5468742
Clipper Gap,Placer,CA,23,38.9693418,-121.017444
Colfax,Placer,CA,500,39.0993409,-120.9554982
Dutch Flat,Placer,CA,760,39.206009,-120.8377169
Emigrant Gap,Placer,CA,10,39.2976784,-120.6716011
Forest Hill,Placer,CA,190,39.0201768,-120.8179891
Gold Run,Placer,CA,200,39.1751754,-120.8610506
Iowa Hill,Placer,CA,150,39.1098983,-120.8427149
Lincoln,Placer,CA,210,38.891565,-121.2930079
Loomis,Placer,CA,55,38.8212889,-121.1930041
Michigan Bluff,Placer,CA,160,39.0429556,-120.7413191
Newcastle,Placer,CA,200,38.8735102,-121.1332806
Rocklin,Placer,CA,150,38.7907339,-121.2357828
Roseville,Placer,CA,61,38.7482347,-121.2852281
Sheridan,Placer,CA,21,38.9796179,-121.3755114
Tahoe,Placer,CA,15,39.1740736,-120.1365809
Todd's Valley,Placer,CA,35,38.9979543,-120.8516017
Yankee Jim's,Placer,CA,38,39.0293428,-120.8616029
Beckwith,Plumas,CA,12,39.8201799,-120.3788225
Bucks,Plumas,CA,12,39.8725,-121.18
Buckeye Ranch,Plumas,CA,12,39.795556,-121.304167
Crescent Mills,Plumas,CA,12,40.0954468,-120.9121771
Durham,Butte,CA,35,39.6462733,-121.7999767
Greenville,Plumas,CA,12,40.1407237,-120.9496785
Jamison,Plumas,CA,12,39.741286,-120.6999428
La Porte,Plumas,CA,340,39.6821146,-120.9841206
Longville,Plumas,CA,16,40.1476627,-121.2446869
Meadow Valley,Plumas,CA,38,39.9304458,-121.0607909
Mohawk,Plumas,CA,12,39.778787,-120.6354971
Nelson Point,Plumas,CA,12,39.860449,-120.8541172
Prattville,Plumas,CA,12,40.208775,-121.1566291
Quincy,Plumas,CA,180,39.9368363,-120.9471764
Round Valley,Plumas,CA,16,40.1157236,-120.9677343
Sawpit,Plumas,CA,44,39.7957269,-120.8818949
Spanish Ranch,Plumas,CA,52,39.9507235,-121.0571798
Taylorsville,Plumas,CA,150,40.0748921,-120.8418974
Vinton,Plumas,CA,49,39.804349,-120.1782603
Rincon,Riverside,CA,12,33.288056,-116.958056
Riverside,Riverside,CA,12,33.9533487,-117.3961564
San Jacinto,Riverside,CA,12,33.7722419,-116.9583571
Temecula Station,Riverside,CA,12,33.4969722,-117.1525317
Arno,Sacramento,CA,68,38.3254686,-121.3135603
Perkins,Sacramento,CA,71,38.5446288,-121.3432845
Cosumne,Sacramento,CA,35,38.4924085,-121.1749466
Courtland,Sacramento,CA,27,38.3315787,-121.5693993
Elk Grove,Sacramento,CA,41,38.4087993,-121.3716178
Elk Grove,Sacramento,CA,41,38.4087993,-121.3716178
Emmaton,Sacramento,CA,12,38.0801969,-121.732177
Florin,Sacramento,CA,20,38.4960187,-121.4088416
Folsom City,Sacramento,CA,360,38.6779591,-121.1760583
Franklin,Sacramento,CA,25,38.3790776,-121.4543973
Freeport,Sacramento,CA,18,38.480741,-121.4927326
Galt,Sacramento,CA,12,38.2546373,-121.2999485
Michigan Bar,Sacramento,CA,88,38.4837978,-121.0513324
Mills,Sacramento,CA,12,38.5987943,-121.3038392
Mormon Island,Sacramento,CA,42,38.703514,-121.1174457
Richland,Sacramento,CA,35,38.3682444,-121.5174543
Sacramento,Sacramento,CA,4000,38.556017,-121.4663433
Sheldon,Sacramento,CA,12,38.4307433,-121.3002273
Union House,Sacramento,CA,12,38.4721304,-121.4527315
Walnut Grove,Sacramento,CA,20,38.2411111,-121.5147222
Hollister,San Benito,CA,400,36.8510657,-121.4007687
San Benito,San Benito,CA,12,36.8007801,-121.3652196
San Juan,San Benito,CA,350,36.8418104,-121.5319726
Tres Pinos,San Benito,CA,12,36.7907906,-121.3218763
Cucamonga,San Bernardino,CA,12,34.0967,-117.59278
San Bernardino,San Bernardino,CA,460,34.13147,-117.29463
Ballena,San Diego,CA,12,33.0653225,-116.7466892
Campo,San Diego,CA,12,32.6247817,-116.4741831
Julian,San Diego,CA,12,33.0769885,-116.5952969
Milguatay,San Diego,CA,9,32.848889,-116.557222
National City,San Diego,CA,12,32.6710181,-117.0971263
North San Diego,San Diego,CA,150,32.753023,-117.1948797
Oak Grove,San Diego,CA,12,33.3850338,-116.7891887
Otay,San Diego,CA,12,32.5947777,-117.0644718
Poway,San Diego,CA,12,32.9983779,-117.0244759
San Diego,San Diego,CA,150,33.2108727,-116.7983567
San Luis Rey,San Diego,CA,58,33.2319797,-117.3236485
Warner's Ranch,San Diego,CA,12,33.2425388,-116.6652977
San Francisco,San Francisco,CA,4000,37.7749295,-122.4194155
Atlanta,San Joaquin,CA,18,37.8129826,-121.1207729
Banta,San Joaquin,CA,12,37.7543731,-121.3707773
Burwood,San Joaquin,CA,14,37.7615946,-120.9552127
Collegeville,San Joaquin,CA,12,37.9049252,-121.147442
Farmington,San Joaquin,CA,79,37.9304806,-121.0046613
Liberty,San Joaquin,CA,93,38.1318633,-121.2799475
Linden,San Joaquin,CA,23,38.0213118,-121.0838313
Lockeford,San Joaquin,CA,95,38.1635297,-121.1499447
Lodi,San Joaquin,CA,12,38.1301968,-121.2724473
Meinecke,San Joaquin,CA,12,,
Peters,San Joaquin,CA,12,37.9807573,-121.0479965
Stockton,San Joaquin,CA,3600,37.9574238,-121.289113
Tracy,San Joaquin,CA,12,37.7396513,-121.4252227
Waterloo,San Joaquin,CA,17,38.0315889,-121.1941118
Woodbridge,San Joaquin,CA,120,38.1501961,-121.3043925
Arroyo Grande,San Luis Obispo,CA,12,35.1205315,-120.5776691
Berros Creek,San Luis Obispo,CA,12,35.1063648,-120.587114
Cambria,San Luis Obispo,CA,39,35.5641381,-121.0813024
Cayucos,San Luis Obispo,CA,12,35.4499733,-120.9035149
Morro,San Luis Obispo,CA,12,35.3666409,-120.8474012
Paso Robles,San Luis Obispo,CA,12,35.6266369,-120.6910043
San Luis Obispo,San Luis Obispo,CA,590,35.2838111,-120.6490348
San Miguel,San Luis Obispo,CA,100,35.7496901,-120.6971159
Santa Margarita,San Luis Obispo,CA,12,35.3899734,-120.609057
Belmont,San Mateo,CA,16,37.5224367,-122.2758008
Colma,San Mateo,CA,12,37.6899466,-122.4600807
Half Moon Bay,San Mateo,CA,200,37.4635519,-122.4285862
Menlo Park,San Mateo,CA,12,37.4538274,-122.1821871
Millbrae,San Mateo,CA,12,37.5980639,-122.4014267
Pescadero,San Mateo,CA,160,37.247623,-122.3654596
Redwood City,San Mateo,CA,360,37.4852152,-122.2363548
San Gregorio,San Mateo,CA,12,37.3271651,-122.3871959
San Mateo,San Mateo,CA,210,37.5769749,-122.3295073
Searsville,San Mateo,CA,53,37.4024395,-122.2452445
Woodside,San Mateo,CA,67,37.4448632,-122.2304997
Ballards,Santa Barbara,CA,12,34.6396799,-120.1135812
Carpinteria,Santa Barbara,CA,12,34.394995,-119.5137339
Las Cruces,Santa Barbara,CA,12,34.5080438,-120.2290397
Santa Barbara,Santa Barbara,CA,510,34.4291637,-119.6940235
Suey,San Luis Obispo,CA,12,34.9633112,-120.3112689
Alma,Santa Clara,CA,56,37.1852231,-121.9871808
Alviso,Santa Clara,CA,45,37.426051,-121.9752373
Coyote,Santa Clara,CA,10,37.216611,-121.7405043
Evergreen,Santa Clara,CA,12,37.2807979,-121.7488924
Gilroy,Santa Clara,CA,800,37.0057816,-121.5682751
Los Gatos,Santa Clara,CA,12,37.2213333,-121.9844024
Madrone,Santa Clara,CA,12,37.3941074,-122.0194049
Mayfield,Santa Clara,CA,240,37.4232728,-122.1438529
Milpitas,Santa Clara,CA,84,37.4235504,-121.9063459
Mountain View,Santa Clara,CA,110,37.3860517,-122.0838511
San Felipe,Santa Clara,CA,12,36.970782,-121.4191017
San Isidro,Santa Clara,CA,12,36.9996702,-121.5263287
San Jose,Santa Clara,CA,3400,37.3499179,-121.8711789
Santa Clara,Santa Clara,CA,980,37.3446637,-121.944124
Saratoga,Santa Clara,CA,12,37.2557468,-122.0330804
