Name,State,Department,Type,People,Latitude,Longitude
Prescott,AZ,Department of the Interior,General Land Office Receivers,1,34.5400242,-112.468503
Florence,AZ,Department of the Interior,General Land Office Receivers,1,33.0314508,-111.387343
San Francisco,CA,Department of the Interior,General Land Office Receivers,1,37.7749295,-122.419416
Marysville,CA,Department of the Interior,General Land Office Receivers,1,39.1457253,-121.591355
Humboldt,CA,Department of the Interior,General Land Office Receivers,1,40.7450055,-123.869509
Stockton,CA,Department of the Interior,General Land Office Receivers,1,37.9577016,-121.29078
Visalia,CA,Department of the Interior,General Land Office Receivers,1,36.3302284,-119.292059
Sacramento,CA,Department of the Interior,General Land Office Receivers,1,38.5815719,-121.4944
Los Angeles,CA,Department of the Interior,General Land Office Receivers,1,34.0522342,-118.243685
Shasta,CA,Department of the Interior,General Land Office Receivers,1,40.598119,-122.490757
Susanville,CA,Department of the Interior,General Land Office Receivers,1,40.4162842,-120.653006
Independence,CA,Department of the Interior,General Land Office Receivers,1,36.8027102,-118.200095
Denver,CO,Department of the Interior,General Land Office Receivers,1,39.7392358,-104.990251
Fair Play,CO,Department of the Interior,General Land Office Receivers,1,39.2247125,-106.001962
Central City,CO,Department of the Interior,General Land Office Receivers,1,39.8019322,-105.514164
Pueblo,CO,Department of the Interior,General Land Office Receivers,1,38.2544472,-104.609141
Del Norte,CO,Department of the Interior,General Land Office Receivers,1,37.6788919,-106.353368
Lake City,CO,Department of the Interior,General Land Office Receivers,1,38.0299967,-107.315334
Boise,ID,Department of the Interior,General Land Office Receivers,1,43.6187102,-116.214607
Lewiston,ID,Department of the Interior,General Land Office Receivers,1,46.39901,-117.004303
Topeka,KS,Department of the Interior,General Land Office Receivers,1,39.0558235,-95.689019
Salina,KS,Department of the Interior,General Land Office Receivers,1,38.8402805,-97.611424
Independence,KS,Department of the Interior,General Land Office Receivers,1,37.2242358,-95.708313
Wichita,KS,Department of the Interior,General Land Office Receivers,1,37.6871761,-97.330053
Kirwin,KS,Department of the Interior,General Land Office Receivers,1,39.6730662,-99.122311
Concordia,KS,Department of the Interior,General Land Office Receivers,1,39.5708354,-97.66254
Larned,KS,Department of the Interior,General Land Office Receivers,1,38.1805693,-99.098713
Hays City,KS,Department of the Interior,General Land Office Receivers,1,38.879444,-99.322222
Helena,MT,Department of the Interior,General Land Office Receivers,1,46.5883707,-112.024505
Bozeman,MT,Department of the Interior,General Land Office Receivers,1,45.6769979,-111.042934
Fargo,ND,Department of the Interior,General Land Office Receivers,1,46.8771863,-96.789803
Bismark,ND,Department of the Interior,General Land Office Receivers,1,46.8083268,-100.783739
Norfolk,NE,Department of the Interior,General Land Office Receivers,1,42.0327234,-97.413755
Beatrice,NE,Department of the Interior,General Land Office Receivers,1,40.2659269,-96.746691
Lincoln,NE,Department of the Interior,General Land Office Receivers,1,40.8257625,-96.685198
Niobrara,NE,Department of the Interior,General Land Office Receivers,1,42.7547231,-98.028682
Grand Island,NE,Department of the Interior,General Land Office Receivers,1,40.9263957,-98.342012
North Platte,NE,Department of the Interior,General Land Office Receivers,1,41.1402759,-100.760145
Bloomington,NE,Department of the Interior,General Land Office Receivers,1,40.0941794,-99.037029
Santa Fe,NM,Department of the Interior,General Land Office Receivers,1,35.6869752,-105.937799
La Mesilla,NM,Department of the Interior,General Land Office Receivers,1,35.9483575,-106.070579
Carson City,NV,Department of the Interior,General Land Office Receivers,1,39.1637984,-119.767403
Eureka,NV,Department of the Interior,General Land Office Receivers,1,39.5124858,-115.96078
Oregon City,OR,Department of the Interior,General Land Office Receivers,1,45.3573429,-122.606758
Roseburg,OR,Department of the Interior,General Land Office Receivers,1,43.216505,-123.341738
Le Grand,OR,Department of the Interior,General Land Office Receivers,1,45.327222,-118.093333
Lake View,OR,Department of the Interior,General Land Office Receivers,1,42.1887721,-120.345792
Dalles,OR,Department of the Interior,General Land Office Receivers,1,32.7766642,-96.796988
Sioux Falls,SD,Department of the Interior,General Land Office Receivers,1,43.5445959,-96.731103
Springfield,SD,Department of the Interior,General Land Office Receivers,1,42.8541657,-97.897291
Yankton,SD,Department of the Interior,General Land Office Receivers,1,42.8711088,-97.397281
Deadwood,SD,Department of the Interior,General Land Office Receivers,1,44.376651,-103.729642
Salt Lake City,UT,Department of the Interior,General Land Office Receivers,1,40.7607793,-111.891047
Olympia,WA,Department of the Interior,General Land Office Receivers,1,47.0378741,-122.900695
Vancouver,WA,Department of the Interior,General Land Office Receivers,1,45.6387281,-122.661486
Walla Walla,WA,Department of the Interior,General Land Office Receivers,1,46.0645809,-118.343021
Cheyenne,WY,Department of the Interior,General Land Office Receivers,1,41.1399814,-104.820246
Evanston,WY,Department of the Interior,General Land Office Receivers,1,41.2682794,-110.963237
Prescott,AZ,Department of the Interior,General Land Office Registers,1,34.5400242,-112.468503
Florence,AZ,Department of the Interior,General Land Office Registers,1,33.0314508,-111.387343
San Francisco,CA,Department of the Interior,General Land Office Registers,1,37.7749295,-122.419416
Marysville,CA,Department of the Interior,General Land Office Registers,1,39.1457253,-121.591355
Humboldt,CA,Department of the Interior,General Land Office Registers,1,40.7450055,-123.869509
Stockton,CA,Department of the Interior,General Land Office Registers,1,37.9577016,-121.29078
Visalia,CA,Department of the Interior,General Land Office Registers,1,36.3302284,-119.292059
Sacramento,CA,Department of the Interior,General Land Office Registers,1,38.5815719,-121.4944
Los Angeles,CA,Department of the Interior,General Land Office Registers,1,34.0522342,-118.243685
Shasta,CA,Department of the Interior,General Land Office Registers,1,40.598119,-122.490757
Susanville,CA,Department of the Interior,General Land Office Registers,1,40.4162842,-120.653006
Independence,CA,Department of the Interior,General Land Office Registers,1,36.8027102,-118.200095
Denver,CO,Department of the Interior,General Land Office Registers,1,39.7392358,-104.990251
Fair Play,CO,Department of the Interior,General Land Office Registers,1,39.2247125,-106.001962
Central City,CO,Department of the Interior,General Land Office Registers,1,39.8019322,-105.514164
Pueblo,CO,Department of the Interior,General Land Office Registers,1,38.2544472,-104.609141
Del Norte,CO,Department of the Interior,General Land Office Registers,1,37.6788919,-106.353368
Lake City,CO,Department of the Interior,General Land Office Registers,1,38.0299967,-107.315334
Boise,ID,Department of the Interior,General Land Office Registers,1,43.6187102,-116.214607
Lewiston,ID,Department of the Interior,General Land Office Registers,1,46.39901,-117.004303
Topeka,KS,Department of the Interior,General Land Office Registers,1,39.0558235,-95.689019
Salina,KS,Department of the Interior,General Land Office Registers,1,38.8402805,-97.611424
Independence,KS,Department of the Interior,General Land Office Registers,1,37.2242358,-95.708313
Wichita,KS,Department of the Interior,General Land Office Registers,1,37.6871761,-97.330053
Kirwin,KS,Department of the Interior,General Land Office Registers,1,39.6730662,-99.122311
Concordia,KS,Department of the Interior,General Land Office Registers,1,39.5708354,-97.66254
Larned,KS,Department of the Interior,General Land Office Registers,1,38.1805693,-99.098713
Hays City,KS,Department of the Interior,General Land Office Registers,1,38.879444,-99.322222
Helena,MT,Department of the Interior,General Land Office Registers,1,46.5883707,-112.024505
Bozeman,MT,Department of the Interior,General Land Office Registers,1,45.6769979,-111.042934
Fargo,ND,Department of the Interior,General Land Office Registers,1,46.8771863,-96.789803
Bismark,ND,Department of the Interior,General Land Office Registers,1,46.8083268,-100.783739
Norfolk,NE,Department of the Interior,General Land Office Registers,1,42.0327234,-97.413755
Beatrice,NE,Department of the Interior,General Land Office Registers,1,40.2659269,-96.746691
Lincoln,NE,Department of the Interior,General Land Office Registers,1,40.8257625,-96.685198
Niobrara,NE,Department of the Interior,General Land Office Registers,1,42.7547231,-98.028682
Grand Island,NE,Department of the Interior,General Land Office Registers,1,40.9263957,-98.342012
North Platte,NE,Department of the Interior,General Land Office Registers,1,41.1402759,-100.760145
Bloomington,NE,Department of the Interior,General Land Office Registers,1,40.0941794,-99.037029
Santa Fe,NM,Department of the Interior,General Land Office Registers,1,35.6869752,-105.937799
La Mesilla,NM,Department of the Interior,General Land Office Registers,1,35.9483575,-106.070579
Carson City,NV,Department of the Interior,General Land Office Registers,1,39.1637984,-119.767403
Eureka,NV,Department of the Interior,General Land Office Registers,1,39.5124858,-115.96078
Oregon City,OR,Department of the Interior,General Land Office Registers,1,45.3573429,-122.606758
Roseburg,OR,Department of the Interior,General Land Office Registers,1,43.216505,-123.341738
Le Grand,OR,Department of the Interior,General Land Office Registers,1,45.327222,-118.093333
Lake View,OR,Department of the Interior,General Land Office Registers,1,42.1887721,-120.345792
Dalles,OR,Department of the Interior,General Land Office Registers,1,32.7766642,-96.796988
Yankton,SD,Department of the Interior,General Land Office Registers,1,42.8711088,-97.397281
Sioux Falls,SD,Department of the Interior,General Land Office Registers,1,43.5445959,-96.731103
Springfield,SD,Department of the Interior,General Land Office Registers,1,42.8541657,-97.897291
Deadwood,SD,Department of the Interior,General Land Office Registers,1,44.376651,-103.729642
Salt Lake City,UT,Department of the Interior,General Land Office Registers,1,40.7607793,-111.891047
Olympia,WA,Department of the Interior,General Land Office Registers,1,47.0378741,-122.900695
Vancouver,WA,Department of the Interior,General Land Office Registers,1,45.6387281,-122.661486
Walla Walla,WA,Department of the Interior,General Land Office Registers,1,46.0645809,-118.343021
Cheyenne,WY,Department of the Interior,General Land Office Registers,1,41.1399814,-104.820246
Evanston,WY,Department of the Interior,General Land Office Registers,1,41.2682794,-110.963237
Prescott,AZ,Department of the Interior,Governors and Secretaries of the Territories,2,34.5400242,-112.468503
Boise,ID,Department of the Interior,Governors and Secretaries of the Territories,2,43.6187102,-116.214607
Helena,MT,Department of the Interior,Governors and Secretaries of the Territories,2,46.5883707,-112.024505
Santa Fe,NM,Department of the Interior,Governors and Secretaries of the Territories,2,35.6869752,-105.937799
Yankton,SD,Department of the Interior,Governors and Secretaries of the Territories,2,42.8711088,-97.397281
Salt Lake City,UT,Department of the Interior,Governors and Secretaries of the Territories,2,40.7607793,-111.891047
Olympia,WA,Department of the Interior,Governors and Secretaries of the Territories,2,47.0378741,-122.900695
Cheyenne,WY,Department of the Interior,Governors and Secretaries of the Territories,2,41.1399814,-104.820246
Colorado River Agency,AZ,Department of the Interior,Office of Indian Affairs,5,34.1465447,-114.299026
Pima and Maricopa Agency,AZ,Department of the Interior,Office of Indian Affairs,6,33.09801,-111.75104
Papago Agency,AZ,Department of the Interior,Office of Indian Affairs,2,32.05007,-111.08398
San Carlos Agency,AZ,Department of the Interior,Office of Indian Affairs,15,33.3637214,-110.459824
Round Valley Agency,CA,Department of the Interior,Office of Indian Affairs,12,39.8277382,-123.24117
Tule River Agency,CA,Department of the Interior,Office of Indian Affairs,5,36.02689,-118.72231
Los Pinos Agency,CO,Department of the Interior,Office of Indian Affairs,10,38.32498,-107.77978
Southern Ute Agency,CO,Department of the Interior,Office of Indian Affairs,2,37.115,-107.63311
White River Agency,CO,Department of the Interior,Office of Indian Affairs,7,40.0908,-108.22425
Fort Hall Agency,ID,Department of the Interior,Office of Indian Affairs,10,43.029352,-112.427011
Lemhi Agency,ID,Department of the Interior,Office of Indian Affairs,4,43.02935,-112.42701
Nez Perce Agency,ID,Department of the Interior,Office of Indian Affairs,20,46.3957406,-116.800902
Lawrence,KS,Department of the Interior,Office of Indian Affairs,6,38.9716689,-95.23525
Pottawatomie Agency,KS,Department of the Interior,Office of Indian Affairs,14,39.334,-95.76998
Blackfeet Agency,MT,Department of the Interior,Office of Indian Affairs,11,48.5613552,-113.01284
Crow Agency,MT,Department of the Interior,Office of Indian Affairs,13,45.6041414,-107.464528
Flathead Agency,MT,Department of the Interior,Office of Indian Affairs,14,47.499722,-114.279444
Fort Peck Agency,MT,Department of the Interior,Office of Indian Affairs,16,48.109444,-105.195
Devil's Lake Agency,ND,Department of the Interior,Office of Indian Affairs,11,47.97603,-98.99696
Fort Berthold Agency,ND,Department of the Interior,Office of Indian Affairs,17,47.743056,-102.2775
Standing Rock Agency,ND,Department of the Interior,Office of Indian Affairs,14,46.0922614,-100.629022
Great Nemaha Agency,NE,Department of the Interior,Office of Indian Affairs,16,40.0243939,-95.356951
Omaha Agency,NE,Department of the Interior,Office of Indian Affairs,10,42.224444,-96.596944
Otoe Agency,NE,Department of the Interior,Office of Indian Affairs,12,40.10236,-96.59625
Red Cloud Agency,NE,Department of the Interior,Office of Indian Affairs,6,42.66969,-103.43548
Spotted Tail Agency,NE,Department of the Interior,Office of Indian Affairs,10,42.6838618,-102.689901
Winnebago Agency,NE,Department of the Interior,Office of Indian Affairs,24,42.23332,-96.56698
Santee Agency,NE,Department of the Interior,Office of Indian Affairs,15,42.84111,-97.8509
Abiquiu Agency,NM,Department of the Interior,Office of Indian Affairs,5,36.20724,-106.31863
Mescalero Apache Agency,NM,Department of the Interior,Office of Indian Affairs,7,33.15758,-105.77415
Cimarron Agency,NM,Department of the Interior,Office of Indian Affairs,4,36.88562,-108.58187
Navajo Agency,NM,Department of the Interior,Office of Indian Affairs,8,35.6834289,-108.145539
Pueblo Agency,NM,Department of the Interior,Office of Indian Affairs,8,36.39546,-105.60831
Southern Apache Agency,NM,Department of the Interior,Office of Indian Affairs,2,33.15758,-105.77415
Pi Ute Agency,NV,Department of the Interior,Office of Indian Affairs,5,39.83185,-119.35795
Western Shoshone Agency,NV,Department of the Interior,Office of Indian Affairs,1,38.8026097,-116.419389
Cheyenne Agency,OK,Department of the Interior,Office of Indian Affairs,1,35.575278,-98.008889
Cheyenne and Arapahoe Agency,OK,Department of the Interior,Office of Indian Affairs,11,35.575278,-98.008889
Kiowa and Comanche Agency,OK,Department of the Interior,Office of Indian Affairs,12,34.59383,-98.41842
Osage and Kaw Agency,OK,Department of the Interior,Office of Indian Affairs,13,36.66784,-96.33723
Pawnee Agency,OK,Department of the Interior,Office of Indian Affairs,16,36.3380039,-96.795636
Ponca Agency,OK,Department of the Interior,Office of Indian Affairs,13,36.608,-97.076
Quapaw Agency,OK,Department of the Interior,Office of Indian Affairs,8,36.95451,-94.788
Sac and Fox Agency,OK,Department of the Interior,Office of Indian Affairs,23,35.66668,-96.66348
Union Agency,OK,Department of the Interior,Office of Indian Affairs,1,35.74787,-95.36969
Wichita Agency,OK,Department of the Interior,Office of Indian Affairs,18,35.07256,-98.24366
Grand Ronde Agency,OR,Department of the Interior,Office of Indian Affairs,6,45.0798348,-123.611777
Klamath Agency,OR,Department of the Interior,Office of Indian Affairs,14,42.6181909,-121.933907
Malheur Agency,OR,Department of the Interior,Office of Indian Affairs,11,43.06666667,-118.966667
Siletz Agency,OR,Department of the Interior,Office of Indian Affairs,8,44.723134,-123.910587
Umatilla Agency,OR,Department of the Interior,Office of Indian Affairs,11,45.6704,-118.68359
Warm Springs Agency,OR,Department of the Interior,Office of Indian Affairs,8,44.7797901,-121.245528
Cheyenne Agency,SD,Department of the Interior,Office of Indian Affairs,12,44.66689,-100.6512
Crow Creek Agency,SD,Department of the Interior,Office of Indian Affairs,12,44.128889,-99.473889
Flandreau Agency,SD,Department of the Interior,Office of Indian Affairs,2,44.047778,-96.596389
Lower Brule Agency,SD,Department of the Interior,Office of Indian Affairs,9,44.08,-99.78
Sisseton Agency,SD,Department of the Interior,Office of Indian Affairs,17,45.66468,-97.0498
Yankton,SD,Department of the Interior,Office of Indian Affairs,2,42.8711088,-97.397281
Yankton Agency,SD,Department of the Interior,Office of Indian Affairs,22,43.08332,-98.38369
Uintah Agency,UT,Department of the Interior,Office of Indian Affairs,8,40.28801,-109.85459
Colville Agency,WA,Department of the Interior,Office of Indian Affairs,5,48.229722,-118.872778
Neah Bay Agency,WA,Department of the Interior,Office of Indian Affairs,13,48.3708393,-124.591494
Nisqually Agency,WA,Department of the Interior,Office of Indian Affairs,5,47.006111,-122.669722
Quinaielt Agency,WA,Department of the Interior,Office of Indian Affairs,6,47.3473,-124.29323
Skokomish Agency,WA,Department of the Interior,Office of Indian Affairs,8,47.3237337,-123.137252
Tulalip Agency,WA,Department of the Interior,Office of Indian Affairs,9,48.0776726,-122.270508
Yakama Agency,WA,Department of the Interior,Office of Indian Affairs,13,46.233333,-120.821944
Shoshone and Bannack Agency,WY,Department of the Interior,Office of Indian Affairs,6,42.86258,-112.57842
San Francisco,CA,Department of the Interior,Pension Office,1,37.7749295,-122.419416
Tucson,AZ,Department of the Interior,Surveyors General,3,32.2217429,-110.926479
San Francisco,CA,Department of the Interior,Surveyors General,19,37.7749295,-122.419416
Denver,CO,Department of the Interior,Surveyors General,5,39.7392358,-104.990251
Boise,ID,Department of the Interior,Surveyors General,4,43.6187102,-116.214607
Helena,MT,Department of the Interior,Surveyors General,15,46.5883707,-112.024505
Plattsmouth,NE,Department of the Interior,Surveyors General,5,41.0111103,-95.880842
Santa Fe,NM,Department of the Interior,Surveyors General,5,35.6869752,-105.937799
Virginia City,NV,Department of the Interior,Surveyors General,4,39.3095135,-119.649979
Portland,OR,Department of the Interior,Surveyors General,7,45.5230622,-122.676482
Yankton,SD,Department of the Interior,Surveyors General,6,42.8711088,-97.397281
Salt Lake City,UT,Department of the Interior,Surveyors General,6,40.7607793,-111.891047
Olympia,WA,Department of the Interior,Surveyors General,5,47.0378741,-122.900695
Cheyenne,WY,Department of the Interior,Surveyors General,4,41.1399814,-104.820246
Tucson,AZ,Judicial,Commissioner,1,32.2217429,-110.926479
Yuma,AZ,Judicial,Commissioner,3,32.6926512,-114.627692
Prescott,AZ,Judicial,Commissioner,1,34.5400242,-112.468503
Ehrenbergh,AZ,Judicial,Commissioner,1,33.6041914,-114.525232
Florence,AZ,Judicial,Commissioner,1,33.0314508,-111.387343
Montezuma,AZ,Judicial,Commissioner,1,33.0758783,-113.222962
Los Angeles,CA,Judicial,Commissioner,1,34.0522342,-118.243685
San Francisco,CA,Judicial,Commissioner,9,37.7749295,-122.419416
Millerton,CA,Judicial,Commissioner,1,38.10917,-122.84444
Sacramento,CA,Judicial,Commissioner,2,38.5815719,-121.4944
Shasta,CA,Judicial,Commissioner,1,40.598119,-122.490757
Watsonville,CA,Judicial,Commissioner,1,36.910231,-121.756895
Woodland,CA,Judicial,Commissioner,1,38.6785157,-121.773297
Havilah,CA,Judicial,Commissioner,2,35.5177324,-118.518697
San Andreas,CA,Judicial,Commissioner,1,38.1960298,-120.680487
Martinez,CA,Judicial,Commissioner,1,38.0193657,-122.134132
Quincy,CA,Judicial,Commissioner,1,39.9368363,-120.947176
Jackson,CA,Judicial,Commissioner,1,38.3488023,-120.774102
Stockton,CA,Judicial,Commissioner,1,37.9577016,-121.29078
Ukiah,CA,Judicial,Commissioner,1,39.1501709,-123.207783
Healdsburgh,CA,Judicial,Commissioner,1,38.6104658,-122.869161
Mariposa,CA,Judicial,Commissioner,1,37.4849377,-119.966284
San Bernardino,CA,Judicial,Commissioner,1,34.1083449,-117.289765
Oroville,CA,Judicial,Commissioner,1,39.5137752,-121.556359
Nevada City,CA,Judicial,Commissioner,1,39.2615606,-121.016059
Santa Cruz,CA,Judicial,Commissioner,1,36.9741171,-122.030796
Arcata,CA,Judicial,Commissioner,1,40.8665166,-124.08284
Downieville,CA,Judicial,Commissioner,1,39.5595198,-120.827697
Marysville,CA,Judicial,Commissioner,1,39.1457253,-121.591355
Redwood City,CA,Judicial,Commissioner,1,37.4852152,-122.236355
Auburn,CA,Judicial,Commissioner,1,38.8965654,-121.07689
Colusa,CA,Judicial,Commissioner,1,39.2143343,-122.009418
Quincy,CA,Judicial,Commissioner,1,39.9368363,-120.947176
Fairfield,CA,Judicial,Commissioner,1,38.2493581,-122.039966
Visalia,CA,Judicial,Commissioner,1,36.3302284,-119.292059
Markleville,CA,Judicial,Commissioner,1,38.6937227,-119.779683
Jackson,CA,Judicial,Commissioner,1,38.3488023,-120.774102
Santa Barbara,CA,Judicial,Commissioner,1,34.4208305,-119.69819
Petaluma,CA,Judicial,Commissioner,1,38.232417,-122.636652
Lakeport,CA,Judicial,Commissioner,1,39.0429506,-122.915829
Vallejo,CA,Judicial,Commissioner,1,38.1040864,-122.256637
Placerville,CA,Judicial,Commissioner,1,38.7296252,-120.798546
Eureka,CA,Judicial,Commissioner,1,40.8020712,-124.163673
Weaverville,CA,Judicial,Commissioner,1,40.7309778,-122.941971
Angel's Camp,CA,Judicial,Commissioner,1,38.0677832,-120.53853
San Diego,CA,Judicial,Commissioner,1,32.715738,-117.161084
Hollister,CA,Judicial,Commissioner,1,36.8524545,-121.401602
Benicia,CA,Judicial,Commissioner,1,38.049365,-122.158578
Sonora,CA,Judicial,Commissioner,1,37.9829496,-120.382172
Crescent City,CA,Judicial,Commissioner,1,41.7557501,-124.202591
San Rafael,CA,Judicial,Commissioner,1,37.9735346,-122.531087
Yreka,CA,Judicial,Commissioner,2,41.7354186,-122.634471
Salinas,CA,Judicial,Commissioner,2,36.6777372,-121.655501
San Leandro,CA,Judicial,Commissioner,1,37.7249296,-122.156077
Independence,CA,Judicial,Commissioner,1,36.8027102,-118.200095
Yuba,CA,Judicial,Commissioner,1,39.14044,-121.61691
Susanville,CA,Judicial,Commissioner,2,40.4162842,-120.653006
Bridgeport,CA,Judicial,Commissioner,1,38.2557045,-119.231393
